Year,Month,Day,AZN.L,BBY.L,UU.L,VOD.L,LRE.L,JD.L,GSK.L,PRU.L,BATS.L,BT-A.L,^FTSE,GBPUSD=X
2010,6,21,1854.328979,183.766098,313.640686,66.00177,187.089157,5.958282,662.473755,338.566711,1210.281738,85.751869,5299.100098,1.475993
2010,6,22,1856.765625,182.38385,309.198212,64.860649,187.837524,6.115309,660.251648,334.181213,1212.512817,85.248573,5247,1.482008
2010,6,23,1825.393311,177.873383,308.902069,64.381371,186.976913,6.285421,646.640686,327.456696,1200.800293,85.122742,5178.5,1.496804
2010,6,24,1825.697754,177.873383,310.97522,65.225807,185.218307,6.281058,648.585449,319.270172,1181.279785,83.046562,5100.200195,1.493206
2010,6,25,1806.81311,174.526871,312.752197,65.750694,185.779541,6.285421,636.085938,309.914246,1187.414551,82.228683,5046.5,1.506796
2010,6,28,1804.072266,174.963394,311.86377,66.640793,186.041519,6.49915,635.252563,314.299835,1197.175171,82.732002,5071.700195,1.50989
2010,6,29,1795.239258,172.999161,308.01358,64.929131,183.759018,6.438085,623.864075,300.850769,1169.846069,82.102859,4914.200195,1.505344
2010,6,30,1930.47583,174.090393,311.271393,63.514141,186.453079,6.708519,634.974792,297.342316,1191.59729,81.851212,4916.899902,1.494433
2010,7,1,1884.178711,167.179138,309.198212,63.148979,185.031204,6.368296,616.36438,286.056702,1166.221191,80.530006,4805.799805,1.516576
2010,7,2,1881.437012,170.234619,313.048431,62.30455,187.089157,6.712882,615.809021,288.921997,1181.837524,79.649216,4838.100098,1.520496
2010,7,6,1914.637207,176.854858,312.752197,64.016228,192.140625,6.464257,623.864075,294.12616,1211.118164,81.914124,4965,1.514394
2010,7,7,1900.016846,176.200119,318.971741,64.769379,192.888947,6.490427,620.808777,293.249084,1211.67627,84.871071,5014.799805,1.517842
2010,7,8,1939.613525,179.2556,324.598877,65.408409,192.888947,6.481703,634.419128,302.897339,1233.148804,85.563126,5105.5,1.515496
2010,7,9,1962.762207,178.746353,328.745239,65.49968,194.759796,6.394466,634.419128,314.007568,1231.754639,88.079704,5132.899902,1.506796
2010,7,12,1971.594971,179.110092,328.449127,65.454025,195.321045,6.699795,641.641235,312.253265,1237.610962,87.261833,5167,1.502404
2010,7,13,1992.002686,184.202621,331.706848,66.686424,197.192001,6.891716,653.585022,315.177002,1269.959106,90.218796,5271,1.518511
2010,7,14,1992.611328,183.547852,327.85672,66.686424,194.946899,6.821927,656.362854,318.100708,1264.103027,89.526718,5253.5,1.526811
2010,7,15,1973.727295,181.874619,330.522247,66.344116,197.004913,6.717242,668.306641,312.838104,1265.776245,87.953865,5211.299805,1.544306
2010,7,16,1953.319824,179.983124,328.745239,65.887657,197.192001,6.804481,659.696045,305.236328,1263.545166,87.702225,5158.899902,1.53069
2010,7,19,1959.411865,179.61937,330.81842,66.024582,197.004913,6.717242,659.973755,299.973663,1248.48645,87.450546,5148.299805,1.522557
2010,7,20,1950.578369,180.710617,328.449127,65.248619,198.31456,6.747776,651.918762,295.880463,1248.207764,84.619431,5139.5,1.528725
2010,7,21,1940.52771,182.092865,330.226074,66.891823,200.55957,6.795756,658.862854,304.359253,1245.697876,85.751869,5214.600098,1.518395
2010,7,22,1963.371338,185.657578,334.076294,68.032944,202.243362,6.913527,668.584412,310.498993,1263.824097,88.708839,5313.799805,1.527207
2010,7,23,1916.769653,186.676102,336.149445,68.717628,201.682053,6.856822,659.41803,308.160004,1264.103027,88.520096,5312.600098,1.543901
2010,7,26,1904.281372,187.767365,335.557129,69.425064,201.682053,6.821927,651.085327,308.452393,1273.026855,89.463799,5351.100098,1.548995
2010,7,27,1942.658936,186.094101,334.964691,68.557846,202.617523,6.63873,641.641235,323.070953,1260.198853,89.023407,5365.700195,1.558798
2010,7,28,1950.883057,183.40239,332.891571,67.667786,201.120865,6.743414,638.545715,322.486237,1250.717407,88.016785,5319.700195,1.559406
2010,7,29,2003.577026,183.547852,332.003052,68.694778,200.933823,6.651815,631.228821,328.041321,1225.340332,91.099571,5314,1.561232
2010,7,30,1972.508911,181.219879,346.515228,67.896011,200.933823,6.555854,625.318665,324.240479,1223.667603,89.463799,5258,1.5688
2010,8,2,1985.301392,186.676102,349.773102,68.877357,201.869232,6.73469,632.635803,331.257446,1220.321045,89.652565,5397.100098,1.588992
2010,8,3,1999.312866,188.64032,351.253937,67.599312,200.185455,6.682349,640.796692,334.473572,1245.976685,90.344604,5396.5,1.594591
2010,8,4,1999.559692,190.968323,354.807861,68.489372,201.495041,6.560218,636.013062,332.42691,1256.015869,90.281685,5386.200195,1.594591
2010,8,5,2019.014648,192.568832,355.992584,68.717628,198.875809,6.682349,637.138489,340.320984,1239.562744,90.784988,5365.799805,1.589193
2010,8,6,2010.368042,193.00531,355.400299,69.493546,193.076019,6.507874,637.419983,334.181213,1233.706421,89.967125,5332.399902,1.589143
2010,8,9,2041.249268,194.824051,356.881073,70.70311,193.45018,6.630007,648.395081,343.24472,1256.294922,92.043282,5410.5,1.597801
2010,8,10,2067.807617,191.259384,356.288757,70.337975,193.263138,6.804481,662.46637,340.613281,1240.399414,92.106171,5376.399902,1.590609
2010,8,11,2021.7948,188.494843,350.661591,68.808891,192.701813,6.420638,655.993713,328.626068,1232.591064,89.508003,5245.200195,1.585791
