Year,Month,Day,PFE,JNJ,COST,FDX,IBM,XOM,DIS,AAPL,MS,ACN,^DJI
2010,8,11,9.940884,41.526234,41.947651,75.131477,83.872398,38.492161,29.806637,7.651115,21.383389,31.964321,10378.830078
2010,8,12,10.065143,41.540417,41.797485,74.056,82.883995,38.390171,29.606304,7.700044,21.132584,31.54068,10319.950195
2010,8,13,9.990587,41.277771,41.527203,73.02565,82.606224,38.186199,29.336281,7.617783,20.954588,31.053095,10303.150391
2010,8,16,9.959523,41.178387,41.572239,73.188339,82.541595,38.167076,29.318855,7.573133,20.792768,31.101057,10302.009766
2010,8,17,10.108636,42.037308,41.917625,75.700836,82.980888,38.766224,29.405958,7.70555,21.197302,31.700544,10405.849609
2010,8,18,10.00301,42.129589,41.804993,75.953903,83.588135,38.33918,29.536612,7.739189,21.24584,31.700544,10415.540039
2010,8,19,9.959523,41.682388,41.301952,73.730583,83.271591,37.791019,28.909473,7.64164,21.027403,31.093075,10271.209961
2010,8,20,9.891173,41.696583,41.324482,73.414284,82.367165,37.536049,28.787527,7.634296,20.97077,30.709398,10213.620117
2010,8,23,10.00301,41.788868,41.219368,73.604088,81.701775,37.92487,28.683008,7.516864,20.808954,30.373682,10174.410156
2010,8,24,9.829046,41.178387,41.744923,71.480186,80.687523,37.567924,27.994892,7.337353,20.33161,29.726255,10040.450195
2010,8,25,9.934667,41.157093,42.848602,71.172874,80.926552,37.548801,27.968765,7.427872,20.307341,29.798193,10060.05957
2010,8,26,9.878747,41.029327,42.25547,71.181938,79.317993,37.274727,27.820684,7.348054,19.927084,29.686291,9985.80957
2010,8,27,9.996799,41.272949,42.187901,72.718346,80.577721,38.116077,28.552351,7.389034,20.2507,29.734245,10150.650391
2010,8,31,9.884965,40.857361,42.420658,70.540237,79.544075,37.676285,28.343307,7.434294,19.97562,29.254658,10014.719727
2010,9,1,10.114844,41.767365,43.38921,73.540817,81.24955,38.823589,29.1882,7.655398,20.55814,29.894112,10269.469727
2010,9,2,10.189404,41.996655,43.989845,73.857117,80.777992,38.919212,29.536612,7.711667,20.77659,30.365692,10320.099609
2010,9,3,10.226681,42.225956,43.974846,74.788033,82.418823,39.084927,30.198595,7.913501,21.569469,30.837296,10447.929688
2010,9,7,10.145911,42.06115,44.027386,74.092102,81.365829,38.594128,29.475643,7.884144,20.768507,30.653442,10340.69043
2010,9,8,10.288812,42.168629,44.455341,75.857056,81.449814,38.721611,29.475643,8.040414,21.011223,30.4776,10387.009766
2010,9,9,10.419285,42.863678,44.252625,76.282471,81.630722,38.912823,29.684694,8.045004,21.852638,30.541544,10415.240234
2010,9,10,10.55597,42.978325,44.703102,76.173859,82.683723,39.008442,29.745665,8.0554,21.99827,31.029123,10462.769531
2010,9,13,10.543549,43.221962,45.086025,76.590233,83.730255,38.880959,29.850185,8.166409,22.467516,31.244944,10544.129883
2010,9,14,10.611889,43.408245,45.829319,77.015617,83.239304,38.887325,29.65856,8.197604,22.265251,31.340857,10526.490234
2010,9,15,10.729939,43.745026,45.941956,77.784973,83.613976,38.880959,29.797926,8.263657,22.038719,31.684555,10572.730469
2010,9,16,10.667809,43.916992,45.979492,74.870522,83.769028,38.861835,29.763079,8.457846,21.666553,31.868401,10594.830078
2010,9,17,10.599466,44.117634,46.017014,74.47226,84.104958,38.740723,30.102785,8.42115,21.415741,32.419914,10607.849609
2010,9,20,10.736153,44.490234,46.009525,75.042465,85.138596,39.231514,30.398935,8.661517,21.715099,33.211224,10753.620117
2010,9,21,10.649168,44.382748,46.002003,75.69416,85.26136,39.22514,30.050526,8.678035,21.084026,33.203243,10761.030273
2010,9,22,10.698873,44.404255,46.797863,76.30056,85.642479,39.167774,29.606304,8.799746,20.18598,33.778748,10739.30957
2010,9,23,10.587037,44.289623,46.925503,74.8162,85.061073,38.976566,28.848495,8.835526,20.016077,33.914623,10662.419922
2010,9,24,10.810706,44.526073,48.089256,76.237221,86.637321,39.359009,29.249178,8.939502,20.34779,33.490997,10860.259766
2010,9,27,10.667809,44.447239,47.848988,76.09243,86.986191,39.333511,28.996578,8.904029,20.121256,33.31514,10812.040039
2010,9,28,10.829349,44.733864,48.802532,76.671669,87.141266,39.556602,28.935604,8.77253,19.821901,33.506977,10858.139648
2010,9,29,10.810706,44.647877,48.554749,78.174156,87.5224,39.257027,28.752689,8.788122,19.805716,33.810711,10835.280273
2010,9,30,10.667809,44.397068,48.419617,77.386734,86.656746,39.384499,28.831081,8.677421,19.967535,33.962582,10788.049805
2010,10,1,10.67402,44.246609,48.840065,77.513443,87.625748,39.862545,29.040127,8.639807,20.242613,35.47327,10829.679688
2010,10,4,10.500055,44.189285,48.47216,77.323341,87.373802,39.639458,28.865923,8.521153,19.9918,35.481266,10751.269531
2010,10,5,10.705085,44.998985,48.547256,79.495628,88.93071,40.321465,29.466934,8.83614,20.606691,36.088745,10944.719727
2010,10,6,10.723722,45.292767,49.110367,79.088295,89.046974,40.754883,29.371124,8.843781,20.533876,36.128696,10967.650391
2010,10,7,10.798279,45.299946,48.997734,78.509026,89.615456,40.697514,29.536612,8.8447,20.28306,36.640247,10948.580078
2010,10,8,10.847981,45.307098,48.269444,80.27401,89.699463,41.035332,30.059233,8.993018,20.485331,36.5923,11006.480469
2010,10,11,10.798279,45.35725,48.291988,80.011513,90.222748,41.143703,30.111488,9.032466,20.34779,36.416451,11010.339844
2010,10,12,10.860413,45.350094,47.556187,79.631348,90.345467,41.239311,30.033106,9.129717,20.978857,36.552334,11020.400391
2010,10,13,11.015739,45.557888,47.571209,81.233398,90.681427,41.456032,30.407648,9.178646,20.986942,36.528122,11096.080078
2010,10,14,10.972249,45.672523,47.436054,80.907578,91.411385,41.621754,30.355383,9.24501,20.582418,36.673416,11094.570313
2010,10,15,11.028163,45.550728,47.826477,81.115746,91.127144,41.551624,30.381521,9.625133,20.242613,36.560406,11062.780273
2010,10,18,11.05923,45.758514,47.458584,80.979973,92.270615,42.24638,30.26828,9.724831,20.550056,36.673416,11143.69043
2010,10,19,10.804493,45.350094,46.707783,78.871063,89.169731,41.507019,29.824059,9.464583,20.541965,36.689568,10978.620117
2010,10,20,10.972249,45.57222,47.008091,80.482178,89.841621,42.074303,30.155045,9.496385,20.533876,36.778362,11107.969727
2010,10,21,10.953607,45.851677,47.751396,80.165375,90.332565,42.271881,30.20731,9.4655,19.902809,36.931744,11146.570313
2010,10,22,10.872836,45.722691,48.074234,80.427856,90.229195,42.284634,30.459904,9.402809,19.838087,36.842945,11132.55957
2010,10,25,10.947395,45.844501,48.134308,81.061455,90.339027,42.1954,30.886709,9.444702,19.724813,36.754143,11164.049805
2010,10,26,10.866623,45.744183,47.811462,81.133812,90.875244,42.405743,31.322218,9.420546,19.571093,36.366669,11169.459961
2010,10,27,10.736153,45.550728,47.438606,79.767151,91.366196,41.857586,31.287378,9.413817,19.781893,36.221355,11126.280273
2010,10,28,10.916328,45.543549,47.303032,80.400703,91.023827,42.208141,31.801298,9.334613,20.154823,36.253662,11113.950195
2010,10,29,10.823133,45.672523,47.280422,79.396042,92.768051,42.380241,31.470301,9.204336,20.162931,36.092209,11118.490234
2010,11,1,10.947395,45.636707,47.664566,78.219406,92.587173,42.673435,31.383202,9.302196,20.008892,36.302094,11124.620117
2010,11,2,10.841772,45.77285,47.996002,78.771507,92.923096,43.240719,31.452877,9.460606,19.952135,36.318241,11188.719727
2010,11,3,10.928756,45.994984,47.574184,79.142586,93.136307,43.323582,31.609665,9.565806,20.592623,36.600777,11215.129883
2010,11,4,10.909923,46.403412,49.321697,80.373566,94.828835,44.222301,32.254227,9.733087,21.379028,36.867165,11434.839844
2010,11,5,10.784376,46.324593,49.261433,81.459679,94.912811,44.617496,32.402309,9.69822,22.116802,36.867165,11444.080078
2010,11,8,10.702773,46.095295,48.817024,81.74028,95.036102,44.821453,32.280357,9.743788,22.060041,36.310173,11406.839844
2010,11,9,10.665109,46.080963,48.37262,79.758102,94.828461,45.302509,32.106152,9.666113,21.338499,36.568478,11346.75
2010,11,10,10.564673,45.823013,48.545856,80.083939,95.094513,45.623219,32.219395,9.725746,21.524961,36.729931,11357.040039
2010,11,11,10.658833,45.801517,49.223774,79.631348,94.367737,46.072197,31.296089,9.683544,21.330389,35.712795,11283.099609
2010,11,12,10.577225,45.622368,49.110786,79.033981,93.271141,45.533417,32.881363,9.419932,20.730446,35.002415,11192.580078
2010,11,15,10.514454,45.959145,49.321697,78.19223,93.206253,45.206295,32.44585,9.389661,21.079056,35.712795,11201.969727
2010,11,16,10.420293,45.242607,49.517536,77.721596,92.297806,44.218544,32.158413,9.222989,20.779089,35.478699,11023.5
