Year,Month,Day,DTE.DE,RWE.DE,SIE.DE,LHA.DE,DBK.DE,ADS.DE,ALV.DE,FME.DE,SAP.DE,BMW.DE,DWNI.DE,^GDAXI,EURUSD=X
2010,7,7,5.400316,33.581062,47.181114,10.120102,31.557869,33.275852,49.283203,35.283352,31.055784,25.922729,4.72204,5992.859863,1.263312
2010,7,8,5.414435,33.75264,47.823605,10.380482,32.588417,33.134518,49.913342,35.075947,30.912979,25.374928,4.847201,6035.660156,1.269406
2010,7,9,5.415521,33.654602,47.518581,10.506332,32.744656,33.778835,50.357445,35.030315,31.265795,25.531441,4.821599,6065.240234,1.264398
2010,7,12,5.368278,33.672981,48.122135,10.519351,32.578438,33.674911,50.741531,35.353863,31.312,25.371668,4.878491,6077.189941,1.259002
2010,7,13,5.443757,33.942608,49.218922,10.705957,33.495956,34.240246,51.365669,35.424385,31.4674,27.474833,4.917605,6191.129883,1.272087
2010,7,14,5.473623,33.740383,49.497993,10.775393,33.535851,34.019928,52.301891,35.723049,31.803406,27.09333,4.864269,6209.759766,1.274048
2010,7,15,5.527925,33.513649,48.725697,10.541051,32.688148,33.699844,51.791775,35.440979,31.500998,27.55961,4.899826,6149.359863,1.292858
2010,7,16,5.451903,32.067463,48.174065,10.319728,31.690842,32.968239,50.891567,35.10498,31.290997,27.487873,4.864979,6040.27002,1.293193
2010,7,19,5.495343,32.091972,47.525078,10.293689,31.252033,32.851845,50.783535,35.10498,31.244791,26.969419,4.978053,6009.109863,1.293946
2010,7,20,5.432897,32.110363,47.155151,10.241612,31.47477,33.309097,50.669518,34.47863,30.891983,26.783562,5.005076,5967.490234,1.289308
2010,7,21,5.460047,32.257423,47.596458,10.371803,31.730734,33.255062,50.555496,34.262932,30.908781,26.685734,5.116016,5990.379883,1.276797
2010,7,22,5.576796,32.998905,49.329243,10.575767,33.037197,34.626835,51.929798,34.354187,31.290997,27.367233,5.123128,6142.149902,1.290306
2010,7,23,5.544216,32.784431,49.595333,10.831808,33.077099,35.379234,52.115833,34.117752,31.3708,27.383533,5.155841,6166.339844,1.291306
2010,7,26,5.568652,32.888607,49.822479,10.940299,33.495956,35.042526,52.751991,34.138496,31.303595,27.461792,5.153707,6194.209961,1.2999
2010,7,27,5.606662,33.403355,49.874397,10.931621,34.998554,35.00927,53.712196,35.797718,30.602173,27.063982,5.29807,6207.310059,1.299089
2010,7,28,5.565937,33.495274,49.420109,11.105206,35.404125,34.443932,53.436146,35.77697,30.215759,26.555307,5.25469,6178.939941,1.299224
2010,7,29,5.614809,33.409477,48.297363,10.606145,35.470608,33.882751,53.304127,35.009579,29.816746,26.55205,5.270336,6134.700195,1.307805
2010,7,30,5.598518,33.207256,48.537498,10.827469,35.636822,34.552017,53.472157,34.930763,29.434538,26.940075,5.333628,6147.970215,1.3039
2010,8,2,5.67454,34.163208,50.374115,10.975017,36.634129,35.038368,54.888477,34.943214,29.753742,27.305273,5.557641,6292.129883,1.317593
2010,8,3,5.655535,34.181599,50.484447,11.365585,37.199261,34.851307,54.570412,35.192097,29.400936,28.146538,5.469458,6307.910156,1.322506
2010,8,4,5.701691,34.420589,49.893864,11.304831,37.132771,35.212952,54.732433,35.901417,29.736946,28.485653,5.290958,6331.330078,1.322506
2010,8,5,5.544216,34.187725,50.620731,11.361247,37.2458,35.882217,54.108299,35.640091,29.854548,29.030197,5.312294,6333.580078,1.315807
2010,8,6,5.514349,33.862942,49.543423,11.113885,36.966557,35.848957,54.138309,35.673267,29.426138,28.629131,5.224111,6259.629883,1.318131
2010,8,9,5.601232,34.31028,50.912766,11.30917,37.332233,35.736717,54.822456,35.743786,29.909149,28.893242,5.175041,6351.600098,1.328568
2010,8,10,5.560505,34.010017,50.250805,11.079168,36.753803,35.308571,54.000278,35.59861,29.854548,28.267185,5.219132,6286.25,1.322996
2010,8,11,5.498059,33.207256,48.94635,10.727654,35.670071,34.57695,52.487923,35.490749,29.384134,27.647654,5.063391,6154.069824,1.318496
2010,8,12,5.641959,32.86409,48.777618,10.705957,35.244556,34.909508,52.055828,36.000965,29.375736,27.324841,5.006498,6135.169922,1.284406
2010,8,13,5.693545,32.612843,48.67379,10.645202,35.171421,34.901184,51.863781,36.287189,29.283331,27.315054,5.045612,6110.410156,1.282989
2010,8,16,5.745133,32.355473,48.608883,10.666902,34.592987,35.296093,51.569729,36.776653,29.325335,27.266144,5.107481,6110.569824,1.27709
2010,8,17,5.707122,33.139854,49.348721,10.966337,35.277794,35.803226,52.10384,37.145824,29.711742,28.10741,5.155841,6206.399902,1.281197
2010,8,18,5.655535,33.274662,49.63427,11.009733,34.938709,35.200485,51.839783,37.237091,29.669744,28.368267,5.155841,6186.310059,1.287996
2010,8,19,5.541501,32.906986,48.011822,10.892563,34.034496,34.826363,50.561489,36.975754,29.505932,27.937859,5.148017,6075.129883,1.285645
2010,8,20,5.487199,32.710892,47.622421,10.849166,33.801792,34.103069,49.487244,36.847176,29.396732,27.305273,4.956717,6005.160156,1.280803
2010,8,23,5.552361,32.741535,47.40826,10.875204,34.081039,34.173737,49.511257,37.033836,29.585739,27.29875,5.05059,6010.910156,1.271003
2010,8,24,5.525209,32.422878,46.41531,10.762372,33.535851,33.699844,48.437008,37.166573,29.333733,27.077023,4.85289,5935.439941,1.263504
2010,8,25,5.557791,32.024563,46.038898,10.675579,33.087063,33.841183,48.328987,37.668484,29.199327,27.021587,4.997254,5899.5,1.263296
2010,8,26,5.522495,31.871367,46.311474,10.823129,33.24995,33.670757,48.346989,37.237091,29.169924,27.184629,5.084725,5912.580078,1.2664
2010,8,27,5.650104,32.116486,46.889072,10.922939,33.336384,33.292473,48.869114,37.116787,29.220327,27.233532,5.419677,5951.169922,1.270648
2010,8,31,5.641959,31.669147,46.584049,10.810108,32.964058,33.392242,48.575039,37.067017,28.943117,27.171583,5.459501,5925.220215,1.266592
2010,9,1,5.679971,32.042946,47.953407,11.170301,33.894871,34.618519,50.189411,37.295162,29.556341,27.983505,5.554085,6083.899902,1.26873
2010,9,2,5.633813,32.214531,47.797646,11.113885,32.804497,34.552017,50.189411,36.540215,29.678141,28.430225,5.4275,6083.850098,1.280295
2010,9,3,5.628384,32.618973,48.433647,11.304831,33.24995,34.693344,50.735531,36.108818,29.976351,28.756292,5.418966,6134.620117,1.282594
2010,9,7,5.622953,32.998905,48.368755,11.200679,32.794521,34.68504,50.015362,36.643909,29.652945,28.651953,5.578975,6117.890137,1.286836
2010,9,8,5.671825,33.237892,48.900917,11.178982,32.585091,35.054993,50.36945,36.921844,29.778944,29.339964,5.623065,6164.439941,1.267797
2010,9,9,5.701691,32.998905,49.22541,11.422001,33.256603,35.404175,50.591499,36.585842,30.539173,29.607349,5.536307,6221.52002,1.273204
2010,9,10,5.671825,32.759914,49.186478,11.404643,31.714117,35.229588,50.47147,36.635616,30.064558,30.132322,5.646535,6214.77002,1.269309
2010,9,13,5.701691,32.802811,49.270836,11.604267,32.252659,35.691002,51.167622,36.809834,30.320766,30.282312,5.617377,6261.680176,1.271698
2010,9,14,5.6854,32.202274,49.420109,11.665024,32.728031,35.749199,51.695747,36.743473,30.854176,30.729031,5.689202,6275.410156,1.2872
2010,9,15,5.690831,32.140991,49.186478,11.508794,32.226059,36.023552,51.599731,36.50288,30.736582,30.81381,5.674981,6261.870117,1.299174
2010,9,16,5.66911,31.951027,50.633713,11.361247,31.275305,36.24802,51.395687,36.494587,30.740776,30.879021,5.674981,6249.649902,1.301507
2010,9,17,5.609379,31.252449,50.069096,11.465399,30.710167,35.753345,50.363445,36.361851,31.047384,30.918154,5.551951,6209.759766,1.3076
2010,9,20,5.663679,31.313726,51.198326,11.586909,31.168922,36.24802,50.819561,36.544365,31.14399,32.036575,5.721205,6294.580078,1.304393
2010,9,21,5.593087,31.38726,51.50983,11.84729,29.752758,36.21476,50.507477,36.888649,31.156595,31.615944,5.689202,6275.97998,1.306694
2010,9,22,5.50349,31.056351,50.075581,11.625967,29.885178,36.422611,50.105389,36.664658,30.618973,31.355093,5.68138,6208.330078,1.325697
